Cenario,Modelo,Acuracia,Sensitividade,Especificidade,Precisao,Recall,F1,AUC,Score_Geral
Completa,Regressao Logistica,0.6839,0.621,0.84,0.9059,0.621,0.7368,0.7684,0.73
Completa,Random Forest,0.7299,0.8306,0.48,0.7984,0.8306,0.8142,0.7798,0.7269
Completa,Naive Bayes,0.6494,0.5887,0.8,0.8795,0.5887,0.7053,0.7232,0.6933
Completa,SVM Radial,0.6609,0.6613,0.66,0.8283,0.6613,0.7354,0.7447,0.6925
Homens,Random Forest,0.75,0.8247,0.5429,0.8333,0.8247,0.829,0.8216,0.7537
Homens,SVM Radial,0.6894,0.6392,0.8286,0.9118,0.6392,0.7515,0.7826,0.7383
Homens,Regressao Logistica,0.6364,0.567,0.8286,0.9016,0.567,0.6962,0.7517,0.696
Homens,Naive Bayes,0.4848,0.3196,0.9429,0.9394,0.3196,0.4769,0.7299,0.5908
Mulheres,Random Forest,0.5952,0.6296,0.5333,0.7083,0.6296,0.6667,0.6642,0.6178
Mulheres,SVM Radial,0.5476,0.5185,0.6,0.7,0.5185,0.5957,0.6617,0.5847
Mulheres,Regressao Logistica,0.5,0.3704,0.7333,0.7143,0.3704,0.4878,0.6568,0.5497
Mulheres,Naive Bayes,0.5,0.2593,0.9333,0.875,0.2593,0.4,0.3802,0.4946
